=== SEMANTIC ANOMALIES ===
Records with >=1 semantic anomaly: 880

MAG-6000434 | extreme_ppsf | Mantri Elite | apartment | 3 BHK | bath 2 | carpet 106 | super 153 | price 19540000 | floor 23 / 26 | locality dlf phase 3 | live True | verified False
MAG-6002099 | extreme_ppsf | Brigade Boulevard | villa | 2 BHK | bath 2 | carpet 81 | super 109 | price 15000000 | floor 20 / 29 | locality sohna road | live True | verified True
MAG-6003380 | extreme_ppsf | Mantri-Enclave | apartment | 2 BHK | bath 1 | carpet 78 | super 109 | price 17290000 | floor 19 / 22 | locality sector 82 | live True | verified True
SQU-6002272 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Casagrand Meadows | plot | 0 BHK | bath 0 | carpet 2026 | super 2026 | price 23780000 | floor 0 / 0 | locality golf course road | live False | verified True
MAG-6001324 | extreme_ppsf | Salarpuria Meadows | apartment | 1 BHK | bath 1 | carpet 49 | super 64 | price 7610000 | floor 5 / 6 | locality new gurgaon | live True | verified False
MAG-6001097 | extreme_ppsf | Casagrand Park | apartment | 3 BHK | bath 2 | carpet 114 | super 154 | price 13380000 | floor 12 / 23 | locality sector 49 | live False | verified True
MAG-6001474 | 0BHK+0bath,0/0_floor,carpet_equals_super | Aparna Elite | plot | 0 BHK | bath 0 | carpet 156 | super 156 | price 11980000 | floor 0 / 0 | locality sohna road | live False | verified True
ZER-6003465 | large_BHK_0balcony,house_many_floors | nitesh park | independent house | 4 BHK | bath 4 | carpet 1529 | super 2209 | price 20500000 | floor 13 / 29 | locality golf course road | live True | verified True
SQU-6002908 | house_many_floors | Aparna Crest | independent house | 2 BHK | bath 2 | carpet 825 | super 1040 | price 10460000 | floor 19 / 25 | locality new gurgaon | live True | verified False
ZER-6001747 | house_many_floors | Nitesh Terraces | independent house | 3 BHK | bath 2 | carpet 1193 | super 1675 | price 22500000 | floor 12 / 29 | locality sector 49 | live True | verified True
DWE-6000679 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Vista | plot | 0 BHK | bath 0 | carpet 1614 | super 1614 | price 9930000 | floor 0 / 0 | locality sector 82 | live True | verified False
SQU-6001980 | large_BHK_0balcony,large_BHK_0parking | Godrej Crest | apartment | 5 BHK | bath 4 | carpet 1921 | super 2767 | price 22260000 | floor 2 / 27 | locality sector 56 | live False | verified True
ZER-6000604 | house_many_floors | Godrej Grand | independent house | 1 BHK | bath 1 | carpet 446 | super 559 | price 6240000 | floor 1 / 14 | locality new gurgaon | live False | verified True
MAG-6002763 | extreme_ppsf | Nitesh Meadows | apartment | 3 BHK | bath 3 | carpet 112 | super 147 | price 21310000 | floor 9 / 20 | locality mg road | live True | verified True
MAG-6000917 | house_many_floors | Assetz Elite | independent house | 3 BHK | bath 2 | carpet 1168 | super 1548 | price 15430000 | floor 6 / 20 | locality sector 82 | live True | verified True
MAG-6002441 | house_many_floors,extreme_ppsf | Assetz Meadows | independent house | 2 BHK | bath 2 | carpet 71 | super 102 | price 15790000 | floor 15 / 32 | locality mg road | live True | verified False
MAG-6000212 | 0BHK+0bath,0BHK_large_area | Adarsh Habitat | builder floor | 0 BHK | bath 0 | carpet 904 | super 1214 | price 12950000 | floor 0 / 20 | locality sector 82 | live True | verified False
DWE-6002667 | house_many_floors | Casagrand Heights | independent house | 3 BHK | bath 2 | carpet 1300 | super 1732 | price 11560000 | floor 4 / 16 | locality sohna road | live True | verified True
SQU-6000910 | large_BHK_0parking | Salarpuria Meadows | villa | 4 BHK | bath 4 | carpet 1591 | super 2243 | price 29790000 | floor 2 / 10 | locality new gurgaon | live False | verified True
MAG-6003480 | extreme_ppsf | Aparna Sanctuary Phase 1 | independent house | 3 BHK | bath 3 | carpet 101 | super 140 | price 18540000 | floor 2 / 6 | locality sector 65 | live True | verified True
100-6000666 | large_BHK_0balcony,large_BHK_0parking | Kolte Patil Grand | apartment | 4 BHK | bath 3 | carpet 1598 | super 2296 | price 17160000 | floor 4 / 14 | locality sohna road | live True | verified False
MAG-6001525 | extreme_ppsf | Assetz Greens | apartment | 2 BHK | bath 2 | carpet 75 | super 99 | price 14640000 | floor 3 / 12 | locality dlf phase 3 | live True | verified True
ZER-6002854 | large_BHK_0parking | Kolte Patil Sanctuary | apartment | 5 BHK | bath 5 | carpet 1809 | super 2294 | price 19850000 | floor 6 / 20 | locality sector 65 | live True | verified True
MAG-6001755 | large_BHK_0balcony | Kolte Patil Greens | apartment | 4 BHK | bath 3 | carpet 1580 | super 2205 | price 27120000 | floor 23 / 24 | locality mg road | live True | verified False
MAG-6000563 | house_many_floors,extreme_ppsf | Salarpuria Pavilion | independent house | 2 BHK | bath 2 | carpet 77 | super 105 | price 12030000 | floor 9 / 27 | locality sector 49 | live True | verified True
ZER-6003447 | large_BHK_0balcony,large_BHK_0parking | kolte patil grand | apartment | 4 BHK | bath 3 | carpet 1597 | super 2298 | price 16900000 | floor 4 / 14 | locality sohna road | live True | verified False
100-6001220 | house_many_floors | Puravankara Enclave | independent house | 2 BHK | bath 2 | carpet 743 | super 1062 | price 7640000 | floor 2 / 31 | locality golf course road | live True | verified False
MAG-6002516 | extreme_ppsf | Shriram Boulevard | villa | 3 BHK | bath 3 | carpet 109 | super 144 | price 19710000 | floor 4 / 12 | locality golf course road | live True | verified False
SQU-6002260 | large_BHK_0balcony | Sobha Vista | independent house | 4 BHK | bath 3 | carpet 1595 | super 2194 | price 16750000 | floor 6 / 9 | locality dlf phase 3 | live False | verified True
100-6003369 | large_BHK_0balcony,large_BHK_0parking | Rohan-Habitat | apartment | 5 BHK | bath 5 | carpet 1948 | super 2474 | price 33520000 | floor 6 / 9 | locality sector 49 | live True | verified True
MAG-6000456 | extreme_ppsf | Rohan Park | apartment | 4 BHK | bath 3 | carpet 149 | super 206 | price 27680000 | floor 15 / 23 | locality new gurgaon | live True | verified False
MAG-6003398 | 0BHK+0bath,0/0_floor,carpet_equals_super | Assetz-Residency | plot | 0 BHK | bath 0 | carpet 167 | super 167 | price 10500000 | floor 0 / 0 | locality sector 49 | live True | verified True
MAG-6003188 | large_BHK_0balcony,large_BHK_0parking | The Salarpuria Pavilion | apartment | 4 BHK | bath 4 | carpet 1494 | super 2113 | price 26280000 | floor 15 / 24 | locality sector 65 | live True | verified False
SQU-6003149 | large_BHK_0balcony | Mantri Terraces Apartments | apartment | 4 BHK | bath 4 | carpet 1579 | super 2031 | price 27620000 | floor 6 / 6 | locality dwarka expressway | live True | verified True
DWE-6000792 | house_many_floors | Godrej Meadows | independent house | 3 BHK | bath 2 | carpet 1265 | super 1736 | price 21820000 | floor 22 / 26 | locality new gurgaon | live False | verified False
ZER-6000495 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Lodha Willows | plot | 0 BHK | bath 0 | carpet 1500 | super 1500 | price 14650000 | floor 0 / 0 | locality dwarka expressway | live False | verified True
MAG-6002682 | extreme_ppsf | Sobha Elite | builder floor | 3 BHK | bath 2 | carpet 106 | super 139 | price 14090000 | floor 3 / 7 | locality sohna road | live True | verified True
SQU-6002955 | large_BHK_0parking | Lodha Serenity | apartment | 4 BHK | bath 3 | carpet 1554 | super 2021 | price 23460000 | floor 18 / 31 | locality sector 49 | live True | verified False
SQU-6001541 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Kolte Patil Heights | plot | 0 BHK | bath 0 | carpet 1559 | super 1559 | price 13040000 | floor 0 / 0 | locality sector 56 | live True | verified True
100-6003015 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Vista | plot | 0 BHK | bath 0 | carpet 2278 | super 2278 | price 22260000 | floor 0 / 0 | locality new gurgaon | live True | verified False
100-6002603 | large_BHK_0balcony | Godrej Sanctuary | apartment | 5 BHK | bath 5 | carpet 1918 | super 2705 | price 21310000 | floor 11 / 20 | locality new gurgaon | live True | verified True
SQU-6002464 | large_BHK_0balcony,large_BHK_0parking | Lodha Boulevard | apartment | 4 BHK | bath 4 | carpet 1635 | super 2210 | price 17430000 | floor 11 / 20 | locality golf course road | live True | verified False
MAG-6001402 | extreme_ppsf | Casagrand Boulevard | apartment | 1 BHK | bath 1 | carpet 48 | super 63 | price 9410000 | floor 3 / 6 | locality dwarka expressway | live True | verified True
MAG-6002612 | extreme_ppsf | Salarpuria Vista | apartment | 3 BHK | bath 2 | carpet 106 | super 134 | price 17310000 | floor 13 / 17 | locality sector 56 | live False | verified False
SQU-6000364 | house_many_floors | Kolte Patil Elite | independent house | 2 BHK | bath 2 | carpet 904 | super 1169 | price 8100000 | floor 23 / 24 | locality sector 65 | live False | verified True
DWE-6001797 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Shriram Heights | plot | 0 BHK | bath 0 | carpet 1860 | super 1860 | price 19410000 | floor 0 / 0 | locality sohna road | live True | verified False
MAG-6001815 | extreme_ppsf | Prestige Park | apartment | 2 BHK | bath 2 | carpet 81 | super 115 | price 11490000 | floor 5 / 5 | locality sector 49 | live True | verified False
MAG-6001774 | extreme_ppsf | Aparna Habitat | builder floor | 3 BHK | bath 3 | carpet 121 | super 157 | price 20740000 | floor 2 / 18 | locality sector 65 | live True | verified False
MAG-6003474 | large_BHK_0balcony | adarsh grand | apartment | 5 BHK | bath 4 | carpet 1729 | super 2433 | price 24450000 | floor 14 / 15 | locality sector 65 | live True | verified False
MAG-6002081 | extreme_ppsf | Godrej Elite | apartment | 4 BHK | bath 4 | carpet 135 | super 182 | price 15160000 | floor 2 / 9 | locality new gurgaon | live True | verified False
DWE-6003175 | large_BHK_0parking,house_many_floors | lodha meadows | independent house | 5 BHK | bath 4 | carpet 2013 | super 2599 | price 31280000 | floor 3 / 15 | locality sector 65 | live True | verified False
DWE-6000214 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Residency | plot | 0 BHK | bath 0 | carpet 1909 | super 1909 | price 21990000 | floor 0 / 0 | locality sector 49 | live True | verified True
DWE-6000584 | large_BHK_0balcony | Shriram Grand | apartment | 4 BHK | bath 4 | carpet 1557 | super 1988 | price 23150000 | floor 4 / 10 | locality dwarka expressway | live True | verified True
DWE-6000698 | large_BHK_0parking | Lodha Terraces | apartment | 4 BHK | bath 4 | carpet 1678 | super 2425 | price 17010000 | floor 5 / 8 | locality sector 65 | live True | verified True
MAG-6003472 | extreme_ppsf | Lodha-Terraces | apartment | 3 BHK | bath 3 | carpet 112 | super 158 | price 12710000 | floor 0 / 5 | locality sector 65 | live True | verified False
DWE-6003209 | large_BHK_0parking | My  Home  Serenity | apartment | 5 BHK | bath 4 | carpet 1889 | super 2617 | price 33300000 | floor 0 / 4 | locality mg road | live True | verified False
MAG-6000148 | extreme_ppsf | Kolte Patil Heights | apartment | 1 BHK | bath 1 | carpet 43 | super 58 | price 6820000 | floor 21 / 23 | locality dlf phase 3 | live True | verified False
DWE-6002964 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Godrej Greens | plot | 0 BHK | bath 0 | carpet 2213 | super 2213 | price 21330000 | floor 0 / 0 | locality sector 49 | live True | verified False
SQU-6000697 | large_BHK_0parking | Aparna Pavilion | apartment | 4 BHK | bath 3 | carpet 1450 | super 2074 | price 13500000 | floor 2 / 15 | locality dwarka expressway | live False | verified True
100-6002429 | large_BHK_0balcony | Rohan Heights | apartment | 5 BHK | bath 5 | carpet 1918 | super 2483 | price 24500000 | floor 23 / 23 | locality sohna road | live True | verified False
DWE-6001394 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Brigade Pavilion | plot | 0 BHK | bath 0 | carpet 2033 | super 2033 | price 21180000 | floor 0 / 0 | locality sector 65 | live False | verified True
SQU-6001388 | house_many_floors | Lodha Greens | independent house | 3 BHK | bath 2 | carpet 1060 | super 1518 | price 16550000 | floor 23 / 24 | locality sohna road | live False | verified True
MAG-6003297 | large_BHK_0parking,extreme_ppsf | Sobha Greens Apartments | apartment | 4 BHK | bath 4 | carpet 152 | super 192 | price 27970000 | floor 17 / 21 | locality new gurgaon | live True | verified True
MAG-6001243 | 0BHK+0bath,0/0_floor,carpet_equals_super | Rohan Serenity | plot | 0 BHK | bath 0 | carpet 97 | super 97 | price 9090000 | floor 0 / 0 | locality mg road | live True | verified True
MAG-6001065 | extreme_ppsf | Adarsh Elite | builder floor | 3 BHK | bath 2 | carpet 121 | super 165 | price 25070000 | floor 3 / 5 | locality sector 82 | live True | verified False
MAG-6002601 | house_many_floors | Aparna Vista | independent house | 3 BHK | bath 3 | carpet 1217 | super 1617 | price 22830000 | floor 3 / 31 | locality dlf phase 3 | live True | verified True
MAG-6001194 | extreme_ppsf | Casagrand Grand | villa | 3 BHK | bath 3 | carpet 113 | super 163 | price 25760000 | floor 1 / 6 | locality dlf phase 3 | live False | verified True
MAG-6001586 | extreme_ppsf | Century Pavilion | apartment | 2 BHK | bath 2 | carpet 74 | super 99 | price 10340000 | floor 2 / 12 | locality dwarka expressway | live True | verified False
ZER-6002720 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Adarsh Woods | plot | 0 BHK | bath 0 | carpet 2289 | super 2289 | price 16750000 | floor 0 / 0 | locality dlf phase 3 | live True | verified False
MAG-6002191 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Century Grand | plot | 0 BHK | bath 0 | carpet 2134 | super 2134 | price 21420000 | floor 0 / 0 | locality golf course road | live False | verified True
DWE-6000847 | large_BHK_0parking | Nitesh Habitat | apartment | 4 BHK | bath 3 | carpet 1578 | super 1996 | price 20450000 | floor 16 / 16 | locality dlf phase 3 | live True | verified True
MAG-6002779 | large_BHK_0balcony,house_many_floors | Assetz Meadows | independent house | 5 BHK | bath 5 | carpet 1962 | super 2778 | price 19710000 | floor 10 / 14 | locality dlf phase 3 | live True | verified True
SQU-6001880 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Assetz Residency | plot | 0 BHK | bath 0 | carpet 1781 | super 1781 | price 10520000 | floor 0 / 0 | locality sector 49 | live True | verified True
MAG-6002504 | extreme_ppsf | Prestige Vista | villa | 4 BHK | bath 3 | carpet 151 | super 190 | price 22920000 | floor 3 / 4 | locality new gurgaon | live True | verified False
SQU-6001162 | large_BHK_0parking | Nitesh Pavilion | apartment | 4 BHK | bath 4 | carpet 1542 | super 1952 | price 15140000 | floor 5 / 19 | locality dlf phase 3 | live True | verified False
DWE-6002296 | house_many_floors | Adarsh Meadows | independent house | 2 BHK | bath 2 | carpet 946 | super 1204 | price 9610000 | floor 10 / 22 | locality sector 82 | live True | verified True
ZER-6000158 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Kolte Patil Willows | plot | 0 BHK | bath 0 | carpet 1909 | super 1909 | price 13740000 | floor 0 / 0 | locality mg road | live True | verified False
MAG-6000017 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Lodha Greens | plot | 0 BHK | bath 0 | carpet 2121 | super 2121 | price 21730000 | floor 0 / 0 | locality new gurgaon | live False | verified False
DWE-6000181 | large_BHK_0balcony | Shriram Elite | apartment | 4 BHK | bath 3 | carpet 1573 | super 2123 | price 29400000 | floor 13 / 17 | locality dwarka expressway | live True | verified True
MAG-6002053 | extreme_ppsf | Brigade Heights | villa | 3 BHK | bath 2 | carpet 109 | super 156 | price 20410000 | floor 9 / 17 | locality golf course road | live True | verified False
MAG-6003023 | extreme_ppsf | Casagrand Habitat | apartment | 3 BHK | bath 2 | carpet 122 | super 163 | price 16950000 | floor 4 / 24 | locality dlf phase 3 | live True | verified True
MAG-6001718 | extreme_ppsf | Brigade Serenity | villa | 3 BHK | bath 2 | carpet 121 | super 174 | price 12730000 | floor 0 / 4 | locality dlf phase 3 | live True | verified True
SQU-6002991 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Mantri Greens | plot | 0 BHK | bath 0 | carpet 2179 | super 2179 | price 18570000 | floor 0 / 0 | locality golf course road | live False | verified True
100-6001599 | extreme_ppsf | Prestige Habitat | apartment | 5 BHK | bath 5 | carpet 1899 | super 2402 | price 26260 | floor 13 / 22 | locality sector 49 | live False | verified True
100-6000922 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Enclave | plot | 0 BHK | bath 0 | carpet 1558 | super 1558 | price 15050000 | floor 0 / 0 | locality mg road | live True | verified True
SQU-6000001 | 0BHK+0bath,0BHK_large_area | Nitesh Heights | apartment | 0 BHK | bath 0 | carpet 921 | super 1300 | price 17620000 | floor 9 / 9 | locality sector 65 | live True | verified True
MAG-6003072 | extreme_ppsf | Lodha  Habitat | apartment | 3 BHK | bath 3 | carpet 106 | super 145 | price 14660000 | floor 10 / 10 | locality dwarka expressway | live True | verified True
SQU-6001040 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | My Home Boulevard | plot | 0 BHK | bath 0 | carpet 1249 | super 1249 | price 10000000 | floor 0 / 0 | locality sohna road | live True | verified True
DWE-6000071 | large_BHK_0parking | Adarsh Park | apartment | 4 BHK | bath 4 | carpet 1656 | super 2354 | price 31030000 | floor 7 / 19 | locality sector 82 | live True | verified False
MAG-6002896 | extreme_ppsf | Brigade Heights | builder floor | 4 BHK | bath 4 | carpet 139 | super 196 | price 22870000 | floor 2 / 10 | locality sector 65 | live True | verified True
MAG-6003324 | large_BHK_0balcony,extreme_ppsf | Lodha-Crest | villa | 4 BHK | bath 4 | carpet 141 | super 178 | price 27510000 | floor 4 / 31 | locality sector 49 | live True | verified True
MAG-6000358 | house_many_floors | Puravankara Park | independent house | 3 BHK | bath 3 | carpet 1152 | super 1487 | price 18420000 | floor 16 / 28 | locality sector 65 | live True | verified True
100-6001572 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Assetz Enclave | plot | 0 BHK | bath 0 | carpet 1957 | super 1957 | price 12560000 | floor 0 / 0 | locality new gurgaon | live False | verified True
MAG-6000788 | extreme_ppsf | Century Vista | builder floor | 2 BHK | bath 2 | carpet 84 | super 111 | price 17960000 | floor 18 / 30 | locality new gurgaon | live False | verified True
SQU-6003131 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Vista Apartments | plot | 0 BHK | bath 0 | carpet 1606 | super 1606 | price 10030000 | floor 0 / 0 | locality sector 82 | live True | verified False
DWE-6002649 | house_many_floors | Shriram Habitat | independent house | 2 BHK | bath 2 | carpet 875 | super 1095 | price 8840000 | floor 0 / 11 | locality sector 65 | live True | verified False
MAG-6001725 | extreme_ppsf | Casagrand Heights | builder floor | 4 BHK | bath 3 | carpet 144 | super 203 | price 23710000 | floor 10 / 22 | locality sector 56 | live True | verified True
DWE-6003402 | large_BHK_0balcony | The Adarsh Pavilion | apartment | 4 BHK | bath 4 | carpet 1506 | super 1874 | price 22260000 | floor 13 / 31 | locality sector 65 | live True | verified True
ZER-6002928 | house_many_floors | Aparna Habitat | independent house | 3 BHK | bath 3 | carpet 1324 | super 1791 | price 25800000 | floor 11 / 21 | locality dwarka expressway | live True | verified True
SQU-6000274 | large_BHK_0parking | Puravankara Greens | apartment | 4 BHK | bath 4 | carpet 1557 | super 2070 | price 24810000 | floor 24 / 25 | locality sohna road | live False | verified True
SQU-6000541 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Brigade Crest | plot | 0 BHK | bath 0 | carpet 2380 | super 2380 | price 13980000 | floor 0 / 0 | locality sohna road | live True | verified True
DWE-6001574 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Salarpuria Sanctuary | plot | 0 BHK | bath 0 | carpet 1874 | super 1874 | price 21440000 | floor 0 / 0 | locality new gurgaon | live False | verified True
MAG-6000011 | extreme_ppsf | Salarpuria Pavilion | apartment | 4 BHK | bath 3 | carpet 141 | super 189 | price 20880000 | floor 10 / 24 | locality sector 65 | live True | verified False
MAG-6003035 | extreme_ppsf | Century Heights | apartment | 3 BHK | bath 3 | carpet 103 | super 135 | price 18380000 | floor 24 / 32 | locality sector 65 | live True | verified False
ZER-6000995 | house_many_floors | Aparna Meadows | independent house | 2 BHK | bath 1 | carpet 825 | super 1167 | price 17280000 | floor 14 / 27 | locality new gurgaon | live True | verified True
100-6001206 | large_BHK_0balcony | Assetz Willows | apartment | 4 BHK | bath 4 | carpet 1518 | super 2045 | price 18600000 | floor 5 / 12 | locality sohna road | live True | verified False
ZER-6000573 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Enclave | plot | 0 BHK | bath 0 | carpet 1541 | super 1541 | price 14880000 | floor 0 / 0 | locality sector 49 | live True | verified False
MAG-6001210 | large_BHK_0parking | Assetz Sanctuary | apartment | 4 BHK | bath 3 | carpet 1559 | super 2232 | price 29430000 | floor 11 / 11 | locality new gurgaon | live True | verified True
MAG-6000165 | large_BHK_0balcony | Brigade Crest | independent house | 4 BHK | bath 3 | carpet 162 | super 203 | price 15650000 | floor 4 / 9 | locality sector 49 | live True | verified False
MAG-6000033 | extreme_ppsf | Kolte Patil Park | apartment | 2 BHK | bath 1 | carpet 77 | super 99 | price 12370000 | floor 6 / 11 | locality dwarka expressway | live False | verified True
DWE-6003256 | house_many_floors | GODREJ SANCTUARY | independent house | 3 BHK | bath 2 | carpet 1246 | super 1671 | price 18110000 | floor 14 / 25 | locality sector 65 | live True | verified True
DWE-6000407 | large_BHK_0parking,house_many_floors | Assetz Enclave | independent house | 5 BHK | bath 5 | carpet 1896 | super 2529 | price 24010000 | floor 14 / 32 | locality sector 49 | live True | verified True
100-6000074 | house_many_floors | Adarsh Vista | independent house | 2 BHK | bath 1 | carpet 786 | super 1028 | price 11150000 | floor 1 / 19 | locality dwarka expressway | live True | verified False
SQU-6002219 | house_many_floors | Adarsh Serenity | independent house | 2 BHK | bath 2 | carpet 788 | super 1014 | price 13090000 | floor 23 / 32 | locality dwarka expressway | live True | verified True
MAG-6000779 | extreme_ppsf | My Home Park | apartment | 2 BHK | bath 2 | carpet 82 | super 108 | price 11820000 | floor 19 / 23 | locality sector 82 | live True | verified True
DWE-6000465 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Salarpuria Terraces | plot | 0 BHK | bath 0 | carpet 1434 | super 1434 | price 15010000 | floor 0 / 0 | locality sector 49 | live False | verified False
ZER-6000508 | house_many_floors | Mantri Elite | independent house | 3 BHK | bath 2 | carpet 1256 | super 1706 | price 13640000 | floor 23 / 26 | locality sector 65 | live True | verified True
MAG-6000673 | extreme_ppsf | Puravankara Willows | apartment | 2 BHK | bath 1 | carpet 74 | super 101 | price 10570000 | floor 6 / 26 | locality mg road | live True | verified False
DWE-6001478 | house_many_floors | Lodha Vista | independent house | 3 BHK | bath 3 | carpet 1283 | super 1831 | price 18270000 | floor 12 / 32 | locality sohna road | live False | verified True
MAG-6003065 | extreme_ppsf | PURAVANKARA TERRACES | apartment | 3 BHK | bath 3 | carpet 123 | super 171 | price 14480000 | floor 20 / 30 | locality sector 82 | live True | verified True
SQU-6000072 | large_BHK_0parking | Rohan Habitat | apartment | 4 BHK | bath 3 | carpet 1475 | super 1955 | price 27600000 | floor 1 / 9 | locality sector 49 | live False | verified False
MAG-6001552 | large_BHK_0balcony,extreme_ppsf | Godrej Elite | builder floor | 4 BHK | bath 3 | carpet 154 | super 219 | price 33540000 | floor 18 / 27 | locality mg road | live True | verified True
SQU-6003488 | large_BHK_0balcony | The Shriram Park | apartment | 5 BHK | bath 5 | carpet 1974 | super 2748 | price 18150000 | floor 0 / 12 | locality dlf phase 3 | live True | verified False
ZER-6000396 | large_BHK_0parking | Godrej Willows | apartment | 5 BHK | bath 4 | carpet 1932 | super 2510 | price 32700000 | floor 17 / 19 | locality sector 82 | live True | verified True
DWE-6001111 | large_BHK_0balcony | Shriram Terraces | apartment | 5 BHK | bath 4 | carpet 1970 | super 2691 | price 8700000 | floor 8 / 16 | locality dlf phase 3 | live True | verified True
ZER-6001274 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Mantri Boulevard | plot | 0 BHK | bath 0 | carpet 1762 | super 1762 | price 11230000 | floor 0 / 0 | locality mg road | live True | verified True
MAG-6000027 | extreme_ppsf | Puravankara Boulevard | apartment | 2 BHK | bath 2 | carpet 82 | super 113 | price 13620000 | floor 8 / 8 | locality sohna road | live True | verified False
MAG-6002226 | extreme_ppsf | Aparna Heights | apartment | 2 BHK | bath 2 | carpet 84 | super 109 | price 15760000 | floor 2 / 20 | locality sector 82 | live True | verified False
MAG-6000462 | extreme_ppsf | Prestige Greens | apartment | 2 BHK | bath 2 | carpet 76 | super 105 | price 9770000 | floor 26 / 27 | locality sector 49 | live True | verified True
MAG-6002631 | extreme_ppsf | Brigade Terraces | apartment | 3 BHK | bath 2 | carpet 112 | super 158 | price 13020000 | floor 15 / 32 | locality sector 49 | live False | verified False
MAG-6000829 | extreme_ppsf | Mantri Habitat | apartment | 2 BHK | bath 2 | carpet 71 | super 97 | price 9900000 | floor 0 / 28 | locality dwarka expressway | live True | verified True
DWE-6001992 | house_many_floors | Salarpuria Elite | independent house | 2 BHK | bath 1 | carpet 870 | super 1176 | price 15260000 | floor 9 / 32 | locality dlf phase 3 | live True | verified True
MAG-6000394 | extreme_ppsf | Brigade Greens | builder floor | 3 BHK | bath 3 | carpet 104 | super 138 | price 16030000 | floor 2 / 6 | locality dwarka expressway | live True | verified True
ZER-6001422 | large_BHK_0parking | Puravankara Elite | apartment | 4 BHK | bath 4 | carpet 1461 | super 1932 | price 18640000 | floor 1 / 11 | locality golf course road | live False | verified False
DWE-6003201 | large_BHK_0parking | Prestige Habitat | apartment | 4 BHK | bath 4 | carpet 1577 | super 2196 | price 24350000 | floor 7 / 13 | locality sector 49 | live False | verified True
SQU-6002407 | large_BHK_0balcony,large_BHK_0parking | Kolte Patil Woods | builder floor | 4 BHK | bath 3 | carpet 1530 | super 1912 | price 14290000 | floor 0 / 9 | locality golf course road | live True | verified True
ZER-6001853 | house_many_floors | Nitesh Meadows | independent house | 3 BHK | bath 2 | carpet 1212 | super 1611 | price 20770000 | floor 14 / 15 | locality golf course road | live True | verified False
MAG-6001086 | extreme_ppsf | Casagrand Boulevard | apartment | 3 BHK | bath 2 | carpet 111 | super 146 | price 16060000 | floor 3 / 9 | locality dlf phase 3 | live True | verified True
SQU-6001145 | house_many_floors | My Home Grand | independent house | 4 BHK | bath 3 | carpet 1609 | super 2176 | price 24180000 | floor 25 / 27 | locality golf course road | live True | verified False
100-6000103 | house_many_floors | Puravankara Elite | independent house | 5 BHK | bath 4 | carpet 1897 | super 2454 | price 23210000 | floor 11 / 24 | locality sector 65 | live True | verified True
MAG-6000723 | large_BHK_0balcony,large_BHK_0parking | Sobha Vista | apartment | 4 BHK | bath 3 | carpet 145 | super 193 | price 13690000 | floor 15 / 18 | locality dwarka expressway | live True | verified True
SQU-6002006 | large_BHK_0parking | Rohan Greens | apartment | 4 BHK | bath 4 | carpet 1591 | super 2190 | price 19420000 | floor 6 / 26 | locality golf course road | live True | verified True
DWE-6002947 | large_BHK_0parking | Casagrand Willows | apartment | 4 BHK | bath 4 | carpet 1574 | super 2096 | price 23870000 | floor 5 / 19 | locality mg road | live True | verified False
ZER-6000809 | house_many_floors | Nitesh Pavilion | independent house | 4 BHK | bath 3 | carpet 1447 | super 1824 | price 14320000 | floor 7 / 15 | locality sector 65 | live True | verified True
MAG-6001148 | large_BHK_0balcony,extreme_ppsf | Adarsh Pavilion | apartment | 4 BHK | bath 4 | carpet 140 | super 175 | price 22240000 | floor 13 / 31 | locality sector 65 | live True | verified True
100-6001073 | house_many_floors | Century Woods | independent house | 2 BHK | bath 2 | carpet 791 | super 1069 | price 12450000 | floor 2 / 15 | locality sohna road | live False | verified False
